NUM,SET,FREQUENCY,EMBEDDED VERB,Wh-WORD,GRAMMATICALITY,SENTENCE
1,1,Low,lead,Who,Grammatical,Who do you wanna lead to the station tomorrow?
2,1,Low,return,Who,Ungrammatical,Who do you wanna return to the station tomorrow?
3,2,Low,lead,Who,Grammatical,Who do you wanna lead to the airport tomorrow?
4,2,Low,return,Who,Ungrammatical,Who do you wanna return to the airport tomorrow?
5,3,Low,lead,Who,Grammatical,Who do you wanna lead to the library tomorrow?
6,3,Low,return,Who,Ungrammatical,Who do you wanna return to the library tomorrow?
7,4,Low,lead,Who,Grammatical,Who do you wanna lead to the museum tomorrow?
8,4,Low,return,Who,Ungrammatical,Who do you wanna return to the museum tomorrow?
9,5,Low,lead,Who,Grammatical,Who do you wanna lead to the hospital tomorrow?
10,5,Low,return,Who,Ungrammatical,Who do you wanna return to the hospital tomorrow?
11,6,Low,lead,Who,Grammatical,Who do you wanna lead to the university tomorrow?
12,6,Low,return,Who,Ungrammatical,Who do you wanna return to the university tomorrow?
13,7,Low,lead,Who,Grammatical,Who do you wanna lead to the restaurant tomorrow?
14,7,Low,return,Who,Ungrammatical,Who do you wanna return to the restaurant tomorrow?
15,8,Low,lead,Who,Grammatical,Who do you wanna lead to the zoo tomorrow?
16,8,Low,return,Who,Ungrammatical,Who do you wanna return to the zoo tomorrow?
17,9,Low,lead,Who,Grammatical,Who do you wanna lead to the hotel tomorrow?
18,9,Low,return,Who,Ungrammatical,Who do you wanna return to the hotel tomorrow?
19,10,Low,lead,Who,Grammatical,Who do you wanna lead to the office tomorrow?
20,10,Low,return,Who,Ungrammatical,Who do you wanna return to the office tomorrow?
21,11,Low,lead,Who,Grammatical,Who do you wanna lead to the school tomorrow?
22,11,Low,return,Who,Ungrammatical,Who do you wanna return to the school tomorrow?
23,12,Low,lead,Who,Grammatical,Who do you wanna lead to the bank tomorrow?
24,12,Low,return,Who,Ungrammatical,Who do you wanna return to the bank tomorrow?
25,13,Low,lead,Who,Grammatical,Who do you wanna lead to the beach tomorrow?
26,13,Low,return,Who,Ungrammatical,Who do you wanna return to the beach tomorrow?
27,14,Low,lead,Who,Grammatical,Who do you wanna lead to the concert tomorrow?
28,14,Low,return,Who,Ungrammatical,Who do you wanna return to the concert tomorrow?
29,15,Low,lead,Who,Grammatical,Who do you wanna lead to the store tomorrow?
30,15,Low,return,Who,Ungrammatical,Who do you wanna return to the store tomorrow?
31,16,Low,lead,Who,Grammatical,Who do you wanna lead to the bus stop tomorrow?
32,16,Low,return,Who,Ungrammatical,Who do you wanna return to the bus stop tomorrow?
