TYPE,SENTENCE,ITEM
Object-Extraction,Who do you wanna lead to the station [MASK]?,tomorrow
Subject-Extraction,Who do you wanna return to the station [MASK]?,tomorrow
Object-Extraction,Who do you wanna lead to the airport [MASK]?,tomorrow
Subject-Extraction,Who do you wanna return to the airport [MASK]?,tomorrow
Object-Extraction,Who do you wanna lead to the library [MASK]?,tomorrow
Subject-Extraction,Who do you wanna return to the library [MASK]?,tomorrow
Object-Extraction,Who do you wanna lead to the museum [MASK]?,tomorrow
Subject-Extraction,Who do you wanna return to the museum [MASK]?,tomorrow
Object-Extraction,Who do you wanna lead to the hospital [MASK]?,tomorrow
Subject-Extraction,Who do you wanna return to the hospital [MASK]?,tomorrow
Object-Extraction,Who do you wanna lead to the university [MASK]?,tomorrow
Subject-Extraction,Who do you wanna return to the university [MASK]?,tomorrow
Object-Extraction,Who do you wanna lead to the restaurant [MASK]?,tomorrow
Subject-Extraction,Who do you wanna return to the restaurant [MASK]?,tomorrow
Object-Extraction,Who do you wanna lead to the zoo [MASK]?,tomorrow
Subject-Extraction,Who do you wanna return to the zoo [MASK]?,tomorrow
Object-Extraction,Who do you wanna lead to the hotel [MASK]?,tomorrow
Subject-Extraction,Who do you wanna return to the hotel [MASK]?,tomorrow
Object-Extraction,Who do you wanna lead to the office [MASK]?,tomorrow
Subject-Extraction,Who do you wanna return to the office [MASK]?,tomorrow
Object-Extraction,Who do you wanna lead to the school [MASK]?,tomorrow
Subject-Extraction,Who do you wanna return to the school [MASK]?,tomorrow
Object-Extraction,Who do you wanna lead to the bank [MASK]?,tomorrow
Subject-Extraction,Who do you wanna return to the bank [MASK]?,tomorrow
Object-Extraction,Who do you wanna lead to the beach [MASK]?,tomorrow
Subject-Extraction,Who do you wanna return to the beach [MASK]?,tomorrow
Object-Extraction,Who do you wanna lead to the concert [MASK]?,tomorrow
Subject-Extraction,Who do you wanna return to the concert [MASK]?,tomorrow
Object-Extraction,Who do you wanna lead to the store [MASK]?,tomorrow
Subject-Extraction,Who do you wanna return to the store [MASK]?,tomorrow
Object-Extraction,Who do you wanna lead to the bus stop [MASK]?,tomorrow
Subject-Extraction,Who do you wanna return to the bus stop [MASK]?,tomorrow
Object-Extraction,Who do you wanna lead to the classroom [MASK]?,tomorrow
Subject-Extraction,Who do you wanna return to the classroom [MASK]?,tomorrow
Object-Extraction,Who do you wanna lead to the park [MASK]?,tomorrow
Subject-Extraction,Who do you wanna return to the park [MASK]?,tomorrow
